City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
520,samarai,-10.6167,150.6667,300.32,300.32,100,3.39,PG,1675532392
521,san jose,37.3394,-121.895,286.96,286.96,75,3.6,US,1675532374
522,ahipara,-35.1667,173.1667,292.2,292.2,96,3.08,NZ,1675532577
523,waddan,29.1614,16.139,287.21,287.21,77,5.52,LY,1675532577
524,vestmanna,62.1564,-7.1664,276.66,276.66,100,11.83,FO,1675532566
525,puerto leguizamo,-0.1934,-74.7819,305.13,305.13,91,1.62,CO,1675532403
526,namtsy,62.7161,129.6658,240.35,240.35,100,0.94,RU,1675532578
527,san rafael del sur,11.8485,-86.4384,302.69,302.69,30,8.59,NI,1675532578
528,bansud,12.865,121.4564,296.76,296.76,93,4.54,PH,1675532579
529,sharjah,25.3573,55.4033,294.14,294.14,0,3.09,AE,1675532379
530,atasu,48.6814,71.6433,263.47,263.47,96,2.71,KZ,1675532579
531,veraval,20.9,70.3667,294.58,294.58,9,1.51,IN,1675532304
532,ahuimanu,21.4447,-157.8378,295.67,295.67,100,1.34,US,1675532580
533,elko,41.0002,-115.5012,267.39,267.39,75,2.24,US,1675532580
534,akhmim,26.5622,31.745,288.26,288.26,64,2.5,EG,1675532580
535,stykkisholmur,65.0757,-22.7297,273.73,273.73,83,10.55,IS,1675532581
536,saint-francois,46.4154,3.9054,280.84,280.84,75,3.6,FR,1675532581
537,hay river,60.8156,-115.7999,252.14,252.14,75,2.57,CA,1675532300
538,kigorobya,1.6162,31.3089,298.12,298.12,73,0.58,UG,1675532581
539,lahij,13.1667,44.5833,294.78,294.78,74,2.02,YE,1675532583
540,weihe,32.9952,105.3247,277.45,277.45,96,1.1,CN,1675532584
541,killam,52.7834,-111.8518,271.12,271.12,100,1.54,CA,1675532586
542,kirakira,-10.4544,161.9205,299.37,299.37,88,2.19,SB,1675532587
543,latung,5.5,120.8833,299.95,299.95,93,2.1,PH,1675532591
544,gazli,40.1333,63.45,278.1,278.1,46,1.72,UZ,1675532592
545,arang,21.2,81.9667,293.33,293.33,38,2.03,IN,1675532595
546,yar-sale,66.8333,70.8333,261.69,261.69,100,2.34,RU,1675532596
547,aykhal,66.0,111.5,236.92,236.92,100,1.07,RU,1675532600
548,hajnowka,52.7433,23.5812,270.26,270.26,100,5.18,PL,1675532603
549,tecoanapa,16.5167,-98.75,301.84,301.84,0,3.99,MX,1675532605
550,jalalabad,34.4265,70.4515,285.53,285.53,32,2.62,AF,1675532606
551,sao felix do xingu,-6.6447,-51.995,302.68,302.68,91,0.22,BR,1675532609
552,port-cartier,50.0334,-66.8654,253.57,253.57,99,10.14,CA,1675532613
553,blackwater,-23.5833,148.8833,298.41,298.41,95,2.86,AU,1675532614
554,charters towers,-20.1,146.2667,297.23,297.23,100,3.37,AU,1675532614
555,scottsbluff,41.8666,-103.6672,279.77,279.77,0,6.26,US,1675532615
556,sakit,27.45,78.8167,288.43,288.43,0,3.69,IN,1675532615
557,bilma,18.6853,12.9164,298.71,298.71,82,2.72,NE,1675532615
558,fayaoue,-20.65,166.5333,301.23,301.23,59,9.65,NC,1675532616
559,kalispell,48.1958,-114.3129,277.87,277.87,75,4.12,US,1675532352
560,korla,41.7597,86.1469,269.83,269.83,70,1.81,CN,1675532616
561,costa rica,-23.4167,-54.65,302.08,302.08,58,3.5,BR,1675532617
562,bozdar,27.1828,68.636,295.3,295.3,1,2.43,PK,1675532617
563,abnub,27.2696,31.1511,289.27,289.27,71,3.04,EG,1675532617
564,campbeltown,55.4258,-5.6076,280.34,280.34,84,9.53,GB,1675532618
565,davidson,36.1501,-86.7833,282.32,282.32,75,4.92,US,1675532618
566,mayumba,-3.432,10.6554,298.66,298.66,98,2.47,GA,1675532618
567,tabas,33.5959,56.9244,281.27,281.27,27,1.03,IR,1675532619
568,shitanjing,39.2342,106.3439,270.76,270.76,75,2.29,CN,1675532619
569,lajedo,-8.6636,-36.32,304.12,304.12,50,6.93,BR,1675532619
570,mahibadhoo,3.7833,72.9667,299.75,299.75,82,2.89,MV,1675532620
571,lerwick,60.1545,-1.1494,280.15,280.15,100,11.2,GB,1675532620
572,skibbereen,51.55,-9.2667,282.65,282.65,100,4.94,IE,1675532620
573,tari,12.4086,4.4914,304.27,304.27,80,3.93,NG,1675532621
574,springfield,37.2153,-93.2982,280.5,280.5,0,6.69,US,1675532580
575,safranbolu,41.2508,32.6942,273.75,273.75,100,1.03,TR,1675532621
576,morros,-9.4467,-46.3003,302.79,302.79,84,1.67,BR,1675532621
577,severnoye,56.3491,78.3619,254.73,254.73,96,0.75,RU,1675532622
578,azare,11.6765,10.1948,301.28,301.28,73,4.36,NG,1675532622
579,tautira,-17.7333,-149.15,299.97,299.97,70,6.56,PF,1675532622
580,homer,59.6425,-151.5483,269.08,269.08,0,0.0,US,1675532623
581,haverfordwest,51.8017,-4.9691,282.91,282.91,100,4.55,GB,1675532623
582,austin,30.2672,-97.7431,288.07,288.07,36,3.13,US,1675532574
